Name,Latitude,Longitude,Area, Recreation visitors ,Description
Acadia,44.35,-68.21,"49,071.40 acres (198.6 km2)"," 4,069,098 ","Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[14][15]"
American Samoa,-14.25,-170.68,"8,256.67 acres (33.4 km2)"," 8,495 ","The southernmost national park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[16]"
Arches,38.68,-109.57,"76,678.98 acres (310.3 km2)"," 1,806,865 ","This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[17] Millions of years of erosion have created these structures in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[18]"
Badlands,43.75,-102.5,"242,755.94 acres (982.4 km2)"," 1,224,226 ","The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils.[19] The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[20]"
Big Bend ,29.25,-103.25,"801,163.21 acres (3,242.2 km2)"," 581,220 ","Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[21] (BR)[22]"
Biscayne,25.65,-80.08,"172,971.11 acres (700.0 km2)"," 705,655 ","The central part of Biscayne Bay, this mostly underwater park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.[23]"
Black Canyon of the Gunnison,38.57,-107.72,"30,779.83 acres (124.6 km2)"," 308,910 ","The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist, which appears black when in shadow.[24]"
Bryce Canyon,37.57,-112.18,"35,835.08 acres (145.0 km2)"," 2,104,600 ","Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[25]"
Canyonlands,38.2,-109.93,"337,597.83 acres (1,366.2 km2)"," 911,594 ","This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[26]"
Capitol Reef,38.2,-111.17,"241,904.50 acres (979.0 km2)"," 1,405,353 ","The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.[27]"
Carlsbad Caverns,32.17,-104.44,"46,766.45 acres (189.3 km2)"," 349,244 ","Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[28] (WHS)[29]"
Channel Islands ,34.01,-119.42,"249,561.00 acres (1,009.9 km2)"," 319,252 ","Five of the eight Channel Islands are protected, with half of the park's area underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, 145 endemic to them, including the island fox. Ferry services offer transportation to the islands from the mainland.[30] (BR)[31]"
Congaree ,33.78,-80.78,"26,692.60 acres (108.0 km2)"," 215,181 ","On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[32] (BR)[33]"
Crater Lake,42.94,-122.1,"183,224.05 acres (741.5 km2)"," 647,751 ","Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. The lake is the deepest in the United States and is noted for its vivid blue color and water clarity. Wizard Island and the Phantom Ship are more recent volcanic formations within the caldera. As the lake has no inlets or outlets, it is replenished only by precipitation.[34]"
Cuyahoga Valley,41.24,-81.55,"32,571.88 acres (131.8 km2)"," 2,575,275 ","This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures,[35] and also offers a scenic train ride.[36]"
Death Valley ,36.24,-116.82,"3,408,395.63 acres (13,793.3 km2)"," 1,146,551 ","Death Valley is the hottest, lowest, and driest place in the United States, with daytime temperatures that have exceeded 130 °F (54 °C). The park protects Badwater Basin and its vast salt flats at the lowest elevation in North America, −282 ft (−86 m).[37] The park also protects canyons, badlands, sand dunes, mountain ranges, historic mines, springs, and more than 1,000 species of plants that grow in this geologic graben.[38] (BR)[39]"
Denali ,63.33,-150.5,"4,740,911.16 acres (19,185.8 km2)"," 229,521 ","Centered on Denali, the tallest and highest prominence mountain in North America, Denali is serviced by a single road leading to Wonder Lake. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, moose, caribou, and wolves.[40] (BR)[41]"
Dry Tortugas ,24.63,-82.87,"64,701.22 acres (261.8 km2)"," 83,817 ","The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. The park is home to undisturbed coral reefs and shipwrecks, and is only accessible by plane or boat.[42] (BR)[43]"
Everglades ,25.32,-80.93,"1,508,938.57 acres (6,106.5 km2)"," 942,130 ","The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[44] (WHS)[45] (BR)[43]"
Gates of the Arctic,67.78,-153.3,"7,523,897.45 acres (30,448.1 km2)"," 7,362 ","The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11,000 years.[46]"
Gateway Arch,38.63,-90.19,91 acres (0.4 km2)," 1,145,081 ","The Gateway Arch is a 630-foot (192 m) (both high and wide) catenary arch built to commemorate the Lewis and Clark Expedition, initiated by Thomas Jefferson, and the subsequent westward expansion of the country. The nearby Old Courthouse, across a greenway to the west of the arch, was the first site of the Dred Scott case about slavery. An underground museum describes the arch's construction and the country's westward expansion.[48]"
Glacier Bay ,58.5,-137,"3,223,383.43 acres (13,044.6 km2)"," 89,768 ","Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105 km).[53] (WHS)[54] (BR)[55]"
Glacier ,48.8,-114,"1,013,126.39 acres (4,100.0 km2)"," 3,081,656 ","The U.S. half of Waterton-Glacier International Peace Park, this park includes 26 glaciers and 130 named lakes surrounded by Rocky Mountain peaks. There are historic hotels and the landmark Going-to-the-Sun Road in this region of rapidly receding glaciers.[49] The local mountains, formed by an overthrust, expose Paleozoic fossils including trilobites, mollusks, giant ferns and dinosaurs. The park is also home to Triple Divide Peak, which forms the boundary between the watersheds of the Atlantic, Pacific, and Arctic Oceans.[50] (WHS)[51] (BR)[52]"
Grand Canyon,36.06,-112.14,"1,201,647.03 acres (4,862.9 km2)"," 4,532,677 ","The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of erosion have exposed the multicolored layers of the Colorado Plateau in mesas and canyon walls, visible from trails that descend into the canyon from north and south rims.[56] (WHS)[57]"
Grand Teton ,43.73,-110.8,"310,044.36 acres (1,254.7 km2)"," 3,885,230 ","Grand Teton is the tallest mountain in the Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley.[58] (BR)[6]"
Great Basin,38.98,-114.3,"77,180.00 acres (312.3 km2)"," 144,875 ","Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park contains 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. Due to its remote location, the park has some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.[59]"
Great Sand Dunes,37.73,-105.51,"107,345.73 acres (434.4 km2)"," 602,613 ","The tallest sand dunes in North America, up to 750 feet (230 m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also has alpine lakes, six 13,000-foot mountains, and old-growth forests.[60]"
Great Smoky Mountains ,35.68,-83.53,"522,426.88 acres (2,114.2 km2)"," 14,161,548 ","The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.[61] (WHS)[62] (BR)[63]"
Guadalupe Mountains,31.92,-104.87,"86,367.10 acres (349.5 km2)"," 243,291 ","This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era.[64]"
Haleakal ,20.72,-156.17,"33,264.62 acres (134.6 km2)"," 853,181 ","The Haleakalā volcano on Maui features a very large crater with numerous cinder cones, Hosmer's Grove of alien trees, the Kipahulu section's scenic pools of freshwater fish, and the native Hawaiian goose. The park protects the greatest number of endangered species within a U.S. national park.[65] (BR)[66]"
Hawaii Volcanoes ,19.38,-155.2,"325,605.28 acres (1,317.7 km2)"," 1,262,747 ","This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).[67] (WHS)[68] (BR)[66]"
Hot Springs,34.51,-93.05,"5,554.15 acres (22.5 km2)"," 2,162,884 ","Hot Springs was original established as a federal reserve by Congress on April 20, 1832—the oldest area managed by the National Park Service. Natural hot springs flow out of the Ouachita Mountains, providing opportunities for relaxation in a historic setting. Bathhouse Row preserves examples of 19th-century architecture.[69] Hot Springs is the first national park in a city and was the smallest national park until 2018.[70]"
Indiana Dunes,41.6533,-87.0524,"15,349.08 acres (62.1 km2)"," 3,177,210 ","Previously designated a national lakeshore, parts of this 20-mile (32 km) stretch of the southern shore of Lake Michigan have sandy beaches and tall dunes. The park includes grassy prairies, peat bogs, and marsh wetlands home to over 2,000 species.[71]"
Isle Royale ,48.1,-88.55,"571,790.30 acres (2,314.0 km2)"," 25,844 ","The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the island, though the relationship between its wolf and moose populations is especially unique.[72] (BR)[73]"
Joshua Tree ,33.79,-115.9,"795,155.85 acres (3,217.9 km2)"," 3,064,400 ","Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.[74] (BR)[39]"
Katmai,58.5,-155,"3,674,529.33 acres (14,870.3 km2)"," 24,764 ","This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, and the stratovolcano Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.[75]"
Kenai Fjords,59.92,-149.65,"669,650.05 acres (2,710.0 km2)"," 411,782 ","Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is the rapidly shrinking Exit Glacier. Boat and kayak tours offer views of tidewater glaciers, whales, and marine birds.[76]"
Kings Canyon ,36.8,-118.55,"461,901.20 acres (1,869.2 km2)"," 562,918 ","Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.[77] Although Kings Canyon National Park was designated as such in 1940, it subsumed General Grant National Park, which had been established on October 1, 1890, as the United States' fourth national park.[78][79][80] (BR)[81]"
Kobuk Valley,67.55,-159.28,"1,750,716.16 acres (7,084.9 km2)"," 11,540 ","Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.[82]"
Lake Clark,60.97,-153.42,"2,619,816.49 acres (10,602.0 km2)"," 18,278 ","The region around Lake Clark features four active volcanoes, including Mount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges complete the landscape.[83]"
Lassen Volcanic,40.49,-121.51,"106,589.02 acres (431.4 km2)"," 359,635 ","Lassen Peak, the largest lava dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder cone, and composite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active. Numerous hydrothermal features, including fumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak.[84]"
Mammoth Cave ,37.18,-86.1,"54,016.29 acres (218.6 km2)"," 515,774 ","With more than 400 miles (640 km) of passageways explored, Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park provides recreation on the Green River, 70 miles of hiking trails, and plenty of sinkholes and springs.[85] (WHS)[86] (BR)[87]"
Mesa Verde,37.18,-108.49,"52,485.17 acres (212.4 km2)"," 548,477 ","This area constitutes over 4,000 archaeological sites of the Ancestral Puebloan people, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with its many passages and tunnels.[88] (WHS)[89]"
Mount Rainier,46.85,-121.75,"236,381.64 acres (956.6 km2)"," 1,670,063 ","Mount Rainier, an active stratovolcano, is the most prominent peak in the Cascades and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the longest and largest in the contiguous United States respectively. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests and meadows seasonally in bloom with wildflowers. Paradise on the south slope is among the snowiest places on Earth.[90] The Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.[91]"
New River Gorge,38.07,-81.08,"72,345.91 acres (292.8 km2)"," 1,682,720 ","The New River Gorge is the deepest river gorge east of the Mississippi River. The park is primarily the lower gorge area around the New River Gorge Bridge, which features some of the country's best whitewater rafting. Smaller noncontiguous sections showcase the ghost town of Thurmond, the scenic Grandview vista, and Sandstone Falls. The other 65,165 acres (263.71 km2) of the redesignated national river is now a national preserve, spanning 53 mi (85 km) of the New River.[92][93]"
North Cascades,48.7,-121.2,"504,780.94 acres (2,042.8 km2)"," 17,855 ","The highly glaciated mountains of the North Cascades Range exhibit spectacular and complex geologic history. Between the river valleys and high peaks there are eight diverse life zones with 75 mammal and 1,600 vascular plant species. Popular hiking and climbing areas of the Stephen Mather Wilderness include Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak. Ross Lake and Lake Chelan National Recreation Areas adjoin the two segments of the park and are all administered together.[94]"
Olympic ,47.97,-123.5,"922,649.41 acres (3,733.8 km2)"," 2,718,925 ","This park on the Olympic Peninsula includes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the glaciated alpine peaks of the Olympic Mountains, the tallest of which is Mount Olympus. The Hoh and Quinault Rainforests are the wettest areas in the contiguous United States, with the Hoh receiving an average of almost 12 ft (3.7 m) of rain every year.[95][96] (WHS)[97] (BR)[98]"
Petrified Forest,35.07,-109.78,"221,390.21 acres (895.9 km2)"," 590,334 ",This portion of the Chinle Formation has a large concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of red-hued volcanic rock called bentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.[99]
Pinnacles,36.48,-121.16,"26,685.73 acres (108.0 km2)"," 348,857 ","Named for the eroded leftovers of a portion of an extinct volcano, the park's massive black and gold monoliths of andesite and rhyolite are a popular destination for rock climbers. Hikers have access to trails crossing the Coast Range wilderness. The park is one of the few locations the endangered California condor can be seen in the wild. Pinnacles also supports a dense population of prairie falcons and more than 13 species of bat that populate its talus caves.[100]"
Redwood,41.3,-124,"138,999.37 acres (562.5 km2)"," 435,879 ","This park and the co-managed state parks protect almost half of all remaining coastal redwoods, the tallest trees on earth. There are three large river systems in this very seismically active area, and 37 miles (60 km) of protected coastline reveal tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems contain a wide variety of animal and plant species.[101] (WHS)[102]"
Rocky Mountain ,40.4,-105.58,"265,807.24 acres (1,075.7 km2)"," 4,434,848 ","Bisected north to south by the Continental Divide, this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including elk, moose, mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacial valleys. Longs Peak, a classic Colorado fourteener, and the scenic Bear Lake are popular destinations, as well as the historic Trail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700 m).[103] (BR)[104]"
Saguaro,32.25,-110.5,"92,867.42 acres (375.8 km2)"," 1,079,786 ","Split into the separate Rincon Mountain and Tucson Mountain districts, this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti, there are barrel cacti, chollas, and prickly pears, as well as lesser long-nosed bats, spotted owls, and javelinas.[105]"
Sequoia ,36.43,-118.68,"404,062.63 acres (1,635.2 km2)"," 1,059,548 ","This park protects the Giant Forest, which boasts some of the world's largest trees, the General Sherman being the largest measured tree in the park. Other features include over 240 caves, a long segment of the Sierra Nevada including the tallest mountain in the contiguous United States, and Moro Rock, a large granite dome.[106] (BR)[81]"
Shenandoah,38.53,-78.35,"200,192.09 acres (810.1 km2)"," 1,592,312 ","Shenandoah's Blue Ridge Mountains are covered by hardwood forests that teem with a wide variety of wildlife. The Skyline Drive and Appalachian Trail run the entire length of this narrow park, along with more than 500 miles (800 km) of hiking trails passing scenic overlooks and cataracts of the Shenandoah River.[107]"
Theodore Roosevelt,46.97,-103.45,"70,446.89 acres (285.1 km2)"," 796,085 ","This region that enticed and influenced President Theodore Roosevelt consists of a park of three units in the northern badlands. Besides Roosevelt's historic cabin, there are numerous scenic drives and backcountry hiking opportunities. Wildlife includes American bison, pronghorn, bighorn sheep, and wild horses.[108]"
Virgin Islands,18.33,-64.73,"15,052.33 acres (60.9 km2)"," 323,999 ","This island park on Saint John preserves pristine beaches surrounded by mangrove forests, seagrass beds, and coral reefs. It also has Taíno archaeological sites and the ruins of sugar plantations from Columbus's time.[109]"
Voyageurs,48.5,-92.88,"218,222.35 acres (883.1 km2)"," 243,042 ","This park protecting four lakes near the Canada–US border is a site for canoeing, kayaking, and fishing. The park also preserves a history populated by Ojibwe Native Americans, French fur traders called voyageurs, and gold miners. Formed by glaciers, the region features tall bluffs, rock gardens, islands, bays, and several historic buildings.[110]"
White Sands,32.78,-106.17,"146,344.31 acres (592.2 km2)"," 782,469 ","Located in the mountain-ringed Tularosa Basin, White Sands consists of the southern part of a 275-square-mile (710 km2) field of white sand dunes composed of gypsum crystals—the world's largest gypsum dunefield. The park is completely within the White Sands Missile Range and is subject to closure when tests are conducted.[112]"
Wind Cave,43.57,-103.48,"33,970.84 acres (137.5 km2)"," 709,001 ","Wind Cave is distinctive for its calcite fin formations called boxwork, a unique formation rarely found elsewhere, and needle-like growths called frostwork. It is one of the longest caves in the world and creates a wind as air pressure changes. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs and ponderosa pine forests home to cougars and elk.[113] The cave is culturally significant to the Lakota people as a creation site.[114]"
Wrangell–St. Elias,61,-142,"8,323,146.48 acres (33,682.6 km2)"," 50,189 ","The largest national park in the system protects the convergence of the Alaska, Chugach, Wrangell, and Saint Elias Ranges, which include many of the continent's tallest mountains and volcanoes, including the 18,008-foot Mount Saint Elias. More than a quarter of the park is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier.[115] (WHS)[54]"
Yellowstone ,44.6,-110.5,"2,219,790.71 acres (8,983.2 km2)"," 4,860,242 ","Situated on the Yellowstone Caldera, the park has an expansive network of geothermal areas including boiling mud pots, vividly colored hot springs such as Grand Prismatic Spring, and regularly erupting geysers, the best-known being Old Faithful. The yellow-hued Grand Canyon of the Yellowstone River contains several high waterfalls, and four mountain ranges traverse the park. More than 60 mammal species including timber wolves, grizzly bears, black bears, lynxes, bison, and elk make this park one of the best wildlife viewing spots in the country.[116] (WHS)[117] (BR)[118]"
Yosemite,37.83,-119.5,"761,747.50 acres (3,082.7 km2)"," 3,287,595 ","Yosemite features sheer granite cliffs, exceptionally tall waterfalls, and old-growth forests at a unique intersection of geology and hydrology. Half Dome and El Capitan rise from the park's centerpiece, the glacier-carved Yosemite Valley, and from its vertical walls drop Yosemite Falls, one of North America's tallest waterfalls at 2,425 feet (739 m) high. Three giant sequoia groves, along with a pristine wilderness in the heart of the Sierra Nevada, are home to a wide variety of rare plant and animal species.[119] (WHS)[120]"
Zion,37.3,-113.05,"147,242.66 acres (595.9 km2)"," 5,039,835 ","Located at the junction of the Colorado Plateau, Great Basin, and Mojave Desert, this park contains sandstone features such as mesas, rock towers, and canyons, including the Virgin River Narrows. The various sandstone formations and the forks of the Virgin River create a wilderness divided into four ecosystems: desert, riparian, woodland, and coniferous forest.[121]"
